Host,Memory Usage,CPU Usage,Primary Sent,Primary Received,Primary Speed,Secondary Received,Secondary Sent,Secondary Speed
BR-C051-CHRKP,57.58,47,49.98 Kbps,167.84 Kbps,2.00 Mbps,101.81 Kbps,39.08 Kbps,5.00 Mbps
BR-C052-AMBTH,56.86,46.34,33.08 Kbps,67.00 Kbps,2.00 Mbps,194.82 Kbps,69.55 Kbps,15.00 Mbps
BR-C053-BHNDP,54.64,46.67,54.86 Kbps,149.28 Kbps,4.00 Mbps,135.89 Kbps,48.78 Kbps,2.00 Mbps
BR-C054-MIRRD,56.87,45.95,50.52 Kbps,183.58 Kbps,2.00 Mbps,49.97 Kbps,25.11 Kbps,2.00 Mbps
BR-C055-SATRA,51.7,45.87,36.35 Kbps,63.06 Kbps,4.00 Mbps,107.61 Kbps,41.34 Kbps,10.00 Mbps
BR-C056-WNWDI,70.63,46.42,42.46 Kbps,62.75 Kbps,2.00 Mbps,188.31 Kbps,36.82 Kbps,15.00 Mbps
BR-C057-KTHRD,62.93,47.82,36.91 Kbps,133.80 Kbps,4.00 Mbps,143.29 Kbps,56.54 Kbps,5.00 Mbps
BR-C058-KLYNR,52.91,46.01,57.09 Kbps,109.87 Kbps,4.00 Mbps,220.24 Kbps,52.95 Kbps,2.00 Mbps
BR-C059-BDLPR,57.81,48.08,63.95 Kbps,99.96 Kbps,4.00 Mbps,221.07 Kbps,48.05 Kbps,10.00 Mbps
BR-C070-RVKRJ,52.11,47.47,46.32 Kbps,62.20 Kbps,4.00 Mbps,93.38 Kbps,32.29 Kbps,2.00 Mbps
BR-C071-ANDRI,52.39,46.32,59.30 Kbps,94.67 Kbps,4.00 Mbps,184.29 Kbps,73.05 Kbps,2.00 Mbps
BR-C072-VAS12,57.45,47.18,31.14 Kbps,56.95 Kbps,2.00 Mbps,138.55 Kbps,45.61 Kbps,10.00 Mbps
BR-C073-PTLPD,51.6,46.01,50.82 Kbps,96.62 Kbps,2.00 Mbps,218.27 Kbps,51.11 Kbps,10.00 Mbps
BR-C074-MAPSA,53.85,46.52,47.29 Kbps,77.95 Kbps,4.00 Mbps,172.64 Kbps,48.18 Kbps,2.00 Mbps
BR-C075-KRWDL,70.25,47.63,49.03 Kbps,83.48 Kbps,4.00 Mbps,167.79 Kbps,64.17 Kbps,10.00 Mbps
BR-C076-BELGN,62.31,48.2,32.52 Kbps,51.89 Kbps,4.00 Mbps,167.81 Kbps,50.38 Kbps,2.00 Mbps
BR-C077-ARGBD,57.39,46.03,50.92 Kbps,58.40 Kbps,4.00 Mbps,101.10 Kbps,42.52 Kbps,2.00 Mbps
BR-C078-DADAR,53.99,45.77,36.47 Kbps,55.14 Kbps,2.00 Mbps,266.48 Kbps,51.90 Kbps,15.00 Mbps
BR-C079-LATUR,70.51,47.11,40.68 Kbps,57.34 Kbps,2.00 Mbps,111.90 Kbps,41.68 Kbps,15.00 Mbps
BR-C080-KLHPR,60.25,45.07,35.92 Kbps,55.22 Kbps,4.00 Mbps,91.04 Kbps,35.30 Kbps,2.00 Mbps
BR-C081-SGDRD,69.34,45.27,40.56 Kbps,57.50 Kbps,4.00 Mbps,63.74 Kbps,32.11 Kbps,2.00 Mbps
BR-C082-NAGPUR,59.67,48.37,69.33 Kbps,103.92 Kbps,4.00 Mbps,205.30 Kbps,75.96 Kbps,2.00 Mbps
BR-C083-RABLE,56.77,45.79,45.02 Kbps,79.64 Kbps,4.00 Mbps,124.23 Kbps,62.72 Kbps,10.00 Mbps
BR-C084-DNKWD,58.77,45.23,32.50 Kbps,61.72 Kbps,4.00 Mbps,154.58 Kbps,42.36 Kbps,2.00 Mbps
